Week #	Word	SAT Importance	Part of Speech	Definition (EN)	Chinese Meaning	Example Sentence	Collocations	Synonym	Antonym	Word Family	Common Trap
Week 1	unobtrusive	Common	adjective	not noticeable or attracting attention	不顯眼的；低調的	The design is simple and unobtrusive, allowing the artwork to stand out.	unobtrusive presence / unobtrusive design	discreet	conspicuous	unobtrusively (adv)	Does not mean invisible; it means not drawing attention.
Week 1	peripheral	Core	adjective	of secondary or minor importance; not central	次要的；周邊的	The issue was considered peripheral to the main argument.	peripheral concern / peripheral vision	secondary	central	peripherally (adv)	Can mean physical (outer edge) or figurative (less important).
Week 1	approximate	Core	adj/verb	close to the actual value but not exact	大約的；接近的	The researchers provided an approximate estimate of the population size.	approximate value / approximately	exact	inaccurate	approximately (adv)	Does not mean precise; it signals estimation.
Week 1	concealed	Common	adjective	hidden or kept from view	隱藏的；隱瞞的	The true motives behind the decision remained concealed.	concealed from / concealed weapon	hidden	revealed	concealment (n)	Often implies intentional hiding.
Week 1	tranquilly	Common	adverb	in a calm and peaceful manner	平靜地；安詳地	The river flowed tranquilly through the valley.	tranquilly observed / sat tranquilly	calmly	anxiously	tranquil (adj)	Usually describes emotional or environmental calm.
Week 1	ponder	Core	verb	to think about something carefully and deeply	深思；仔細思考	The philosopher paused to ponder the implications of the argument.	ponder a question / ponder whether	consider	ignore	pondering (n/gerund form)	Implies thoughtful reflection, not casual thinking.
Week 1	germinate	Common	verb	to begin to grow or develop	發芽；開始發展	The idea germinated over several years before becoming a full theory.	germinate into / germinate from	sprout	wither	germination (n)	Often used figuratively to describe ideas developing.
Week 1	weary	Common	adjective	feeling tired or exhausted	疲憊的；厭倦的	The team grew weary after months of intense preparation.	weary of / grow weary	tired	energetic	weariness (n)	Not the same as “wary,” which means cautious.
Week 1	toil	Common	verb/noun	to work extremely hard or with great effort	辛勞；苦幹	The workers toiled for years to complete the project.	toil away	labor	rest	toiling (adj form)	Implies sustained and exhausting effort.
Week 1	zealous	Common	adjective	showing intense enthusiasm or passion	熱衷的；狂熱的	The advocate was zealous in defending her position.	zealous supporter / zealous defense	enthusiastic	indifferent	zeal (n)	Can imply excessive enthusiasm, sometimes with negative tone.
Week 1	pilgrimage	Occasional	noun	a journey made for a special or meaningful purpose	朝聖之旅；有意義的旅程	The trip became a personal pilgrimage to reconnect with her heritage.	make a pilgrimage	journey	settle	—	Often used figuratively to describe a meaningful journey.
Week 1	unanimity	Core	noun	complete agreement by everyone involved	全體一致；一致同意	The decision was reached with remarkable unanimity among the committee members.	with unanimity / achieve unanimity	agreement	dissent	unanimous (adj)	Stronger than “majority”; it means everyone agrees.
Week 1	reverence	Common	noun	deep respect or admiration	崇敬；敬畏	The community regarded the leader with great reverence.	show reverence / reverence for	respect	disrespect	revere (v)	Stronger than respect; implies deep admiration or honor.
Week 1	altruistically	Common	adverb	in a selfless or unselfish way	無私地；利他地	She donated anonymously, acting altruistically rather than for recognition.	act altruistically / behave altruistically	selflessly	selfishly	altruism (n)	Often used in discussions of motivation or ethical behavior.
Week 1	disproportionate	Core	adjective	out of proper balance or unequal in size or amount	不成比例的；不均衡的	The policy had a disproportionate impact on low-income communities.	disproportionate to / disproportionate impact	unequal	proportional	disproportionately (adv)	Implies imbalance, not just difference.
Week 1	subsequent	Core	adjective	following in time; coming after something else	隨後的；之後的	Subsequent studies confirmed the original findings.	subsequent to / subsequent events	later	previous	subsequently (adv)	Often signals sequence in cause-and-effect discussions.
Week 1	confer	Core	verb	to grant or give officially; to discuss or consult	授予；商討	The university conferred an honorary degree on the scientist.	confer with / confer a benefit	grant	revoke	conference (n)	Not the same as confirm; can mean grant or consult depending on context.
Week 1	ingest	Common	verb	to take in food, drink, or another substance	攝取；吞食	The study examined how chemicals are ingested through contaminated water.	ingest food / ingest substances	consume	expel	ingestion (n)	Usually refers to taking something into the body.
Week 1	saturated	Common	adjective	filled completely or to capacity	飽和的；充滿的	The market became saturated with similar products.	saturated with / saturated market	full	depleted	saturation (n)	Can be literal (chemistry) or figurative (market, media).
Week 1	invertebrate	Occasional	noun	an animal without a backbone	無脊椎動物	The study focused on marine invertebrates such as jellyfish and coral.	marine invertebrates	—	vertebrate	—	Primarily used in biology contexts; rarely central to argument structure.
Week 1	inhibit	Core	verb	to prevent, slow down, or limit something	抑制；阻礙	The new regulations may inhibit economic growth.	inhibit growth / inhibit development	restrain	promote	inhibition (n)	Does not mean completely stop; often means limit or slow.
Week 1	alkaline	Occasional	adjective	having a pH greater than 7; basic rather than acidic	鹼性的	The soil was slightly alkaline, affecting the growth of certain plants.	alkaline solution / alkaline soil	basic	acidic	alkalinity (n)	Primarily used in chemistry or environmental contexts.
Week 1	versatile	Common	adjective	able to adapt or be used for many different purposes	多才多藝的；多功能的	The researcher developed a versatile method that could be applied across several disciplines.	versatile tool / versatile perform				
Week 1	pivotal	Core	adjective	extremely important; central to an outcome or development	關鍵的；決定性的	The discovery played a pivotal role in advancing the theory.	pivotal role / pivotal moment	crucial	insignificant	pivot (n / v)	Often signals a turning point or decisive influence.
Week 1	suffrage	Core	noun	the right to vote in political elections	選舉權	The movement advocated for universal suffrage to ensure equal political representation.	universal suffrage / women's suffrage	voting rights	disenfranchisement	suffragist (n)	Refers specifically to the right to vote, not general support or suffering.
Week 2	reluctant	Common	adjective	unwilling or hesitant	不情願的；勉強的	She was reluctant to accept the proposal without further evidence.	reluctant to	hesitant	eager	reluctance (n)	Implies hesitation rather than refusal.
Week 2	anonymity	Common	noun	the state of being unknown or unnamed	匿名	The survey allowed participants to maintain anonymity.	maintain anonymity	privacy	publicity	anonymous (adj)	Refers to identity being hidden.
Week 2	abstract	Core	adjective	existing as an idea rather than concrete reality	抽象的	The concept of justice can be difficult to define in abstract terms.	abstract idea / abstract concept	conceptual	concrete	abstraction (n)	Opposite of concrete; refers to ideas.
Week 2	substantial	Core	adjective	large in amount or importance	大量的；重大的	The study revealed substantial differences between the groups.	substantial evidence / substantial impact	significant	minor	substantially (adv)	Implies meaningful size or importance.
Week 2	feasibility	Core	noun	the possibility that something can be done successfully	可行性	The committee questioned the feasibility of the plan.	feasibility study	practicality	impossibility	feasible (adj)	Refers to whether something is realistic.
Week 2	grave	Common	adjective	serious or severe	嚴重的；重大的	The decision had grave consequences.	grave concern	serious	trivial	gravely (adv)	Does not refer to burial; means serious.
Week 2	draconian	Common	adjective	excessively harsh or severe	嚴苛的	The policy imposed draconian penalties for minor violations.	draconian measures	lenient	mild	—	Implies extreme harshness.
Week 2	cohort	Core	noun	a group sharing a common characteristic or experience	同儕群體；世代	The study followed a cohort of students over ten years.	research cohort	group	individual	—	Common in data and research passages.
Week 2	dearth	Common	noun	a scarcity or lack of something	缺乏；不足	There is a dearth of reliable data on the issue.	dearth of	scarcity	abundance	—	Implies noticeable shortage.
Week 2	repercussion	Common	noun	an unintended consequence	後果；影響	The policy had serious economic repercussions.	repercussions of	outcome	cause	—	Often negative consequence.
Week 2	subversive	Common	adjective	intended to undermine authority or established systems	顛覆性的	The group was accused of promoting subversive ideas.	subversive activity	rebellious	supportive	—	Implied challenge to authority.
Week 2	adolescence	Common	noun	the period of life between childhood and adulthood	青春期；青少年時期	The study examined emotional development during adolescence.	during adolescence	adulthood	childhood	adolescent (adj/n)	Common in psychology and social science passages.
Week 2	detrimental	Core	adjective	harmful or damaging	有害的；不利的	The changes proved detrimental to long-term growth.	detrimental to	harmful	beneficial	detriment (n)	Implies measurable harm.
Week 2	benevolent	Common	adjective	kind and well-meaning	仁慈的；慈善的	The organization was founded by a benevolent donor.	benevolent leader	cruel	malevolent	benevolence (n)	Implies active goodwill.
Week 2	dissenting	Core	adjective	expressing disagreement	持不同意見的	The judge wrote a dissenting opinion.	dissenting opinion	agreeing	unanimous	dissent (n)	Common in legal and political contexts.
Week 2	injudiciously	Occasional	adverb	in a way that shows poor judgment	不明智地；輕率地	The statement was injudiciously made without considering its consequences.	act injudiciously	poorly	wise	injudicious (adj)	Implies lack of careful judgment.
Week 2	indulgent	Common	adjective	showing excessive leniency or generosity	縱容的；寬容的	The parent was overly indulgent and rarely set limits.	indulgent toward	strict	severe	indulgence (n)	Implies excessive tolerance.
Week 2	solicitude	Occasional	noun	care or concern for someone or something	關心；掛念	She showed genuine solicitude for the well-being of her colleagues.	show solicitude	concern	indifference	—	Formal word meaning attentive concern.
Week 2	vandalism	Common	noun	deliberate destruction of property	故意破壞	The monument was damaged by acts of vandalism.	act of vandalism	damage	protection	vandal (n)	Refers to intentional destruction.
Week 2	sanction	Core	noun/verb	official approval or a penalty for disobeying rules	制裁；批准	The organization imposed sanctions on the violating company.	impose sanctions / sanction a policy	penalty / approve	reward	sanctioned (adj)	Can mean approve OR penalize depending on context.
Week 2	harness	Core	verb	to control and use something effectively	利用；駕馭	The researchers harnessed solar energy to power the device.	harness energy	utilize	waste	—	Often used figuratively for using power or resources.
Week 2	pertain	Core	verb	to relate directly to something	關於；涉及	The new regulations pertain to environmental protection.	pertain to	relate	ignore	pertinent (adj)	Often used in formal writing; usually followed by "to".
Week 2	conceited	Common	adjective	excessively proud of oneself	自負的；自大的	The critic described the author as talented but conceited.	conceited attitude	arrogant	humble	conceit (n)	Implies inflated self-importance.
Week 2	august	Common	adjective	respected and impressive	莊嚴的；威嚴的	The speaker addressed the august assembly of scholars.	august institution	dignified	insignificant	—	Formal tone word meaning highly respected.
Week 2	omit	Core	verb	to leave out or exclude	省略；遺漏	The author chose to omit certain details from the report.	omit from / omit information	exclude	include	omission (n)	Often implies deliberate exclusion rather than accidental forgetting.
Week 2	renown	Common	noun	widespread fame or recognition	聲譽；名望	The scientist gained international renown for her discoveries.	gain renown / of great renown	fame	obscurity	renowned (adj)	Not the same as renowned, which is the adjective form.
Week 2	linchpin	Common	noun	a person or thing essential to a system or organization	關鍵人物；核心	The policy became the linchpin of the administration’s reform plan.	be the linchpin of	centerpiece	minor part	—	Implies something holding everything together.
Week 2	contemporary	Core	adjective	existing or occurring at the same time; modern	當代的；同時期的	The artist is considered one of the most influential contemporary painters.	contemporary art / contemporary with	modern	ancient	contemporaneous (adj)	Can mean modern or from the same time period.
Week 2	improvisational	Occasional	adjective	done without preparation; spontaneous	即興的	The performance had an improvisational quality.	improvisational style	spontaneous	planned	improvise (v)	Often related to creative spontaneity.
Week 2	disparaging	Common	adjective	expressing criticism or disrespect	貶低的；輕蔑的	The article contained disparaging remarks about the proposal.	disparaging comment	critical	praising	disparage (v)	Implies belittling or demeaning tone.
Week 2	appealing	Common	adjective	attractive or interesting	吸引人的	The design is simple yet appealing to a wide audience.	appealing to	attractive	unappealing	appeal (n/v)	Context determines whether it means attractive or persuasive.
Week 2	staggering	Common	adjective	extremely large or surprising	驚人的；巨大的	The company reported staggering losses.	staggering amount	modest	minor	stagger (v)	Usually describes shocking scale.
Week 2	attribute	Core	verb/noun	to regard something as caused by	歸因於；特質	Researchers attribute the decline to economic factors.	attribute to / key attribute	ascribe	deny	attribution (n)	Common cause-and-effect signal word.
Week 2	outset	Common	noun	the beginning of something	開始；起初	At the outset of the study, several assumptions were made.	at the outset	beginning	conclusion	—	Signals starting point in argument or timeline.
Week 2	nocturnal	Occasional	adjective	active at night	夜行性的	Many desert animals are nocturnal to avoid daytime heat.	nocturnal animals	nighttime	diurnal	—	Primarily biological term.
Week 2	phenomenon	Core	noun	an observable event or fact	現象	The rapid growth of the platform became a global phenomenon.	social phenomenon	event	illusion	phenomena (plural)	Common academic noun.
Week 2	imminent	Core	adjective	about to happen very soon	即將發生的	The storm’s arrival was imminent.	imminent danger	distant	unlikely	imminently (adv)	Signals near-future certainty.
Week 2	eminent	Core	adjective	famous and respected within a field	傑出的；卓越的	The eminent scholar delivered the keynote address.	eminent figure	unknown	insignificant	eminence (n)	Often confused with imminent.
Week 2	complimentary	Common	adjective	expressing praise or provided free of charge	稱讚的；免費的	The guests received complimentary tickets.	complimentary remarks	critical	—	Can mean praising or free.	
Week 2	complementary	Core	adjective	completing or enhancing something else	互補的	The two strategies are complementary rather than conflicting.	complementary roles	conflicting	—	Not the same as complimentary.	
Week 3	perennial	Core	adjective	recurring frequently or lasting for a long time	長久的；反覆出現的	The issue remains a perennial topic of debate among economists.	perennial debate / perennial plant	persistent	temporary	—	Can mean recurring problem or long-lasting.
Week 3	diminution	Common	noun	a reduction or decrease in size or importance	減少；縮減	The policy resulted in a noticeable diminution of resources.	diminution of	reduction	increase	diminish (v)	Formal noun form meaning decrease.
Week 3	remnant	Common	noun	a small remaining part	殘餘；剩餘部分	A remnant of the ancient structure still stands.	remnant of	remainder	totality	—	Implies a leftover piece.
Week 3	piety	Occasional	noun	devotion to religious duties or moral principles	虔誠；孝道	The text emphasized the importance of filial piety.	religious piety	devotion	irreverence	pious (adj)	Often used in religious or cultural contexts.
Week 3	snobbish	Common	adjective	acting as if one is superior to others	勢利的；自命不凡的	The critic’s snobbish tone alienated many readers.	snobbish attitude	arrogant	humble	snob (n)	Implies social superiority.
Week 3	connotation	Core	noun	the implied or emotional meaning of a word	內涵；言外之意	The word carries a negative connotation in this context.	negative connotation	implication	literal meaning	connotative (adj)	Different from denotation (literal meaning).
Week 3	decry	Core	verb	to publicly criticize or condemn	譴責；強烈批評	Many leaders decried the policy as unfair.	decry a policy	condemn	praise	—	Often implies strong public criticism.
Week 3	prosper	Common	verb	to grow or succeed financially or socially	繁榮；興旺	The region began to prosper after the discovery of natural resources.	prosper economically	thrive	decline	prosperity (n)	Common in economic or historical contexts.
Week 3	credence	Common	noun	belief or acceptance that something is true	相信；信任	The new evidence lends credence to the theory.	give credence to	belief	doubt	—	Usually appears in the phrase “lend credence to.”
Week 3	eradication	Common	noun	the complete destruction or elimination of something	根除；消滅	The campaign aimed at the eradication of the disease.	eradication of	elimination	preservation	eradicate (v)	Implies complete removal.
Week 3	coalesce	Core	verb	to come together to form one group or whole	合併；凝聚	The smaller organizations eventually coalesced into a single movement.	coalesce into	merge	separate	coalescence (n)	Often used for groups or ideas joining together.
Week 3	esoteric	Common	adjective	understood by only a small number of people	深奧的；只有少數人懂的	The lecture covered highly esoteric philosophical ideas.	esoteric knowledge	obscure	common	—	Implies specialized or obscure knowledge.
Week 3	fallacy	Core	noun	a mistaken belief or faulty reasoning	謬誤；錯誤推論	The argument relies on a logical fallacy rather than evidence.	logical fallacy	error	truth	fallacious (adj)	Often refers to flawed reasoning in arguments.
Week 3	primogeniture	Occasional	noun	a system where the eldest child inherits the family estate	長子繼承制	The estate passed to the eldest son under the rule of primogeniture.	law of primogeniture	inheritance	equal division	—	Appears mostly in historical contexts.
Week 3	realm	Common	noun	an area of knowledge, activity, or influence	領域；範疇	The discovery opened a new realm of scientific inquiry.	realm of science	domain	irrelevance	—	Often used metaphorically for fields of study.
Week 3	oppression	Common	noun	prolonged cruel or unjust treatment	壓迫；壓制	Many movements arose in response to political oppression.	political oppression	freedom	justice	oppress (v)	Common in historical and social science contexts.
Week 3	revolting	Common	adjective	extremely unpleasant or disgusting	令人厭惡的；噁心的	The conditions in the facility were described as revolting.	revolting smell	disgusting	pleasant	revolt (v)	Often describes strong disgust.
Week 3	mutability	Occasional	noun	the ability to change	可變性；易變性	The mutability of the system made long-term predictions difficult.	mutability of	changeability	permanence	mutable (adj)	Often used in scientific or philosophical contexts.
Week 3	tenor	Common	noun	the general tone or meaning of something	語氣；大意	The tenor of the speech suggested cautious optimism.	tenor of	statement	silence	—	Refers to overall tone or meaning.
Week 3	bestow	Common	verb	to give or grant something formally	賜予；授予	The university bestowed an honorary degree upon the scientist.	bestow upon / bestow honors	grant	withhold	bestowal (n)	Often used in formal contexts like awards.
Week 3	impel	Core	verb	to drive or force someone to act	促使；驅使	New evidence impelled the researchers to revise their conclusions.	impel someone to	drive	deter	—	Implies strong motivation or force.
Week 3	obscure	Common	adj/verb	not clear or not well known	模糊的；鮮為人知的	The meaning of the passage remained obscure.	obscure meaning	clear	confusing	obscurity (n)	Can mean unclear or unknown depending on context.
Week 3	dissipate	Core	verb	to scatter or gradually disappear	消散；驅散	The fog began to dissipate as the sun rose.	dissipate tension	disperse	accumulate	dissipation (n)	Often describes something fading away.
Week 3	prodigality	Occasional	noun	wasteful or reckless spending	揮霍；浪費	The heir's prodigality quickly depleted the family fortune.	prodigality of resources	extravagance	frugality	prodigal (adj)	Often associated with the biblical “Prodigal Son,” meaning wastefully extravagant.
Week 3	splendid	Common	adjective	extremely impressive or excellent	壯麗的；極好的	The palace was known for its splendid architecture.	splendid view	magnificent	plain	splendor (n)	Often used to describe beauty or excellence.
Week 3	prevalent	Core	adjective	widely existing or commonly occurring	普遍的；流行的	The disease is prevalent in tropical regions.	prevalent belief	common	rare	prevalence (n)	Often used in science or sociology contexts.
Week 3	endemic	Common	adjective	native to or regularly found in a particular place	地方性的；特有的	The plant is endemic to the island ecosystem.	endemic species	widespread	foreign	—	Common in biology and environmental science.
Week 3	suboptimal	Common	adjective	not the best possible outcome	次佳的；不理想的	The design produced suboptimal results.	suboptimal solution	inefficient	optimal	—	Often used in technical or analytical contexts.
Week 3	constitute	Core	verb	to form or make up something	構成；組成	These factors constitute the foundation of the theory.	constitute a majority	form	destroy	constitution (n)	Common academic verb meaning “to make up.”
Week 3	rejuvenated	Common	adjective	restored to energy or youth	恢復活力的；煥然一新的	The reforms rejuvenated the struggling industry.	rejuvenated economy	revitalized	exhausted	rejuvenate (v)	Often used figuratively to mean renewed energy.
Week 3	extraterrestrial	Occasional	adjective	originating outside Earth	地球外的；外星的	Scientists continue searching for extraterrestrial life.	extraterrestrial life	alien	terrestrial	—	Common in astronomy contexts.
Week 3	timid	Common	adjective	showing a lack of courage or confidence	膽小的；羞怯的	The student was too timid to speak in front of the class.	timid response	shy	bold	timidity (n)	Often refers to lack of confidence.
Week 3	arsenal	Common	noun	a collection of weapons or resources	武器庫；資源庫	The scientist used an arsenal of analytical tools.	arsenal of tools	collection	lack	—	Can be literal or metaphorical.
Week 3	predisposed	Core	adjective	having a natural tendency toward something	傾向於；易於	The study suggests some individuals are predisposed to anxiety.	predisposed to	inclined	neutral	predisposition (n)	Common in psychology or science discussions.
Week 3	introverted	Common	adjective	quiet and reserved, focusing on inner thoughts	內向的	The introverted researcher preferred solitary work.	introverted personality	reserved	outgoing	introversion (n)	Common psychological description.
Week 4	ambivalent	Core	adjective	having mixed or conflicting feelings	矛盾的；搖擺不定的	Voters remained ambivalent about the new policy.	ambivalent about	conflicted	certain	ambivalence (n)	Implies uncertainty due to conflicting feelings.
Week 4	apathetic	Common	adjective	showing little interest or concern	冷漠的；缺乏熱情的	The campaign struggled to motivate apathetic voters.	apathetic attitude	indifferent	enthusiastic	apathy (n)	Implies lack of motivation or concern.
Week 4	antagonistic	Common	adjective	showing hostility or opposition	敵對的；對抗的	The debate became increasingly antagonistic.	antagonistic toward	hostile	friendly	antagonism (n)	Implies active opposition.
Week 4	annexation	Common	noun	the act of taking control of territory	併吞；兼併	The annexation of the territory sparked international criticism.	territorial annexation	union	separation	annex (v)	Common in historical and political contexts.
Week 4	abdication	Common	noun	the act of formally giving up power	退位；放棄權力	The king's abdication shocked the nation.	abdication of power	renunciation	acceptance	abdicate (v)	Often used in political or royal contexts.
Week 4	provisional	Core	adjective	temporary and subject to change	臨時的；暫定的	The agreement was considered provisional pending further review.	provisional government	permanent	finalize	provisionally (adv)	Common in legal or political contexts.
Week 4	deprive	Core	verb	to deny someone something necessary	剝奪；使喪失	The policy deprived many communities of essential resources.	deprive of	provide	grant	deprivation (n)	Often followed by “of”.
Week 4	prompt	Common	verb	to cause or trigger an action	促使；引發	The discovery prompted new research into the issue.	prompt action	trigger	prevent	promptly (adv)	In SAT contexts it usually means “to cause”.
Week 4	retaliatory	Common	adjective	done in response to an attack or harm	報復性的	The country imposed retaliatory tariffs.	retaliatory action	defensive	peaceful	retaliate (v)	Often used in political or military contexts.
Week 4	debilitating	Common	adjective	causing serious weakness or impairment	使衰弱的；使虛弱的	The illness proved debilitating for many patients.	debilitating disease	weakening	strengthening	debilitate (v)	Often used in medical contexts.
Week 4	premised	Common	adj/verb	based on or founded upon something	以…為前提	The theory is premised on the assumption of stability.	premised on	based on	independent	premise (n)	Often followed by “on.”
Week 4	preemptively	Common	adverb	taking action beforehand to prevent something	預先地；先發制人地	The company acted preemptively to address safety concerns.	act preemptively	prevent	react	preempt (v)	Implies acting before a problem arises.
Week 4	susceptible	Core	adjective	easily influenced or affected by something	易受影響的；易感染的	Children are more susceptible to certain infections.	susceptible to	resistant	immune	susceptibility (n)	Common in science and psychology passages.
Week 4	grievance	Common	noun	a complaint about unfair treatment	不滿；申訴	The workers voiced their grievances about working conditions.	worker grievances	complaint	satisfaction	grieve (v)	Common in labor or political contexts.
Week 4	peculiar	Common	adjective	strange or unusual; specific to something	奇特的；特有的	The bird has a peculiar call unique to the region.	peculiar behavior	odd	ordinary	peculiarity (n)	Can also mean “specific to.”
